Airport_Code,Airport_Name,Late_Aircraft,Delays_NAS,Delays_Security,Delays_Weather,Flights_Cancelled,Flights_Delayed,Flights_Diverted,Flights_OnTime
MDW,"Chicago, IL: Chicago Midway International",721,635,6,57,92,1703,41,6841
MIA,"Miami, FL: Miami International",336,255,0,22,29,886,3,4192
MSP,"Minneapolis, MN: Minneapolis-St Paul International",674,1174,11,77,177,2573,9,8023
ORD,"Chicago, IL: Chicago O'Hare International",2824,5877,18,165,1543,10412,150,20139
PDX,"Portland, OR: Portland International",420,269,8,20,40,1030,2,3937
PHL,"Philadelphia, PA: Philadelphia International",666,1279,0,87,138,2451,13,6481
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1152,1602,20,81,211,3938,6,14117
SAN,"San Diego, CA: San Diego International",593,567,5,26,89,1698,12,6113
SEA,"Seattle, WA: Seattle/Tacoma International",717,760,7,32,98,2042,20,6879
SFO,"San Francisco, CA: San Francisco International",815,1252,9,33,195,2894,8,8134
SLC,"Salt Lake City, UT: Salt Lake City International",679,354,23,61,128,1856,3,10010
TPA,"Tampa, FL: Tampa International",475,303,1,16,17,1124,13,5076
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2371,3702,6,325,467,8290,33,24901
BOS,"Boston, MA: Logan International",797,1417,2,151,252,2972,7,7781
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",713,485,5,45,67,1666,13,7151
CLT,"Charlotte, NC: Charlotte Douglas International",686,1108,2,48,98,2448,7,7398
DCA,"Washington, DC: Ronald Reagan Washington National",493,918,1,89,149,1887,22,5441
DEN,"Denver, CO: Denver International",1018,770,12,91,230,2866,11,15473
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1469,1286,3,214,750,3705,87,19903
DTW,"Detroit, MI: Detroit Metro Wayne County",819,1384,7,107,134,2963,14,7756
EWR,"Newark, NJ: Newark Liberty International",739,3690,8,131,350,4896,41,7665
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",381,509,3,15,21,1238,8,4152
IAD,"Washington, DC: Washington Dulles International",688,758,5,46,154,2069,20,6378
IAH,"Houston, TX: George Bush Intercontinental/Houston",893,1365,8,80,158,2869,39,15253
JFK,"New York, NY: John F. Kennedy International",850,1808,5,184,184,3430,29,6454
LAS,"Las Vegas, NV: McCarran International",1155,897,16,45,104,2841,12,12106
LAX,"Los Angeles, CA: Los Angeles International",1335,1210,12,108,296,3857,12,14902
LGA,"New York, NY: LaGuardia",637,2547,3,181,372,3785,17,6134
MCO,"Orlando, FL: Orlando International",650,557,4,19,29,1694,3,7758
MDW,"Chicago, IL: Chicago Midway International",589,458,8,36,93,1354,27,6857
MIA,"Miami, FL: Miami International",286,385,1,22,21,1041,3,3998
