Airport_Code,Airport_Name,Late_Aircraft,Delays_NAS,Delays_Security,Delays_Weather,Flights_Cancelled,Flights_Delayed,Flights_Diverted,Flights_OnTime
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",695,516,15,52,123,2024,24,13498
SAN,"San Diego, CA: San Diego International",445,254,5,37,20,1128,7,6227
SEA,"Seattle, WA: Seattle/Tacoma International",469,401,8,37,17,1416,3,8212
SFO,"San Francisco, CA: San Francisco International",963,1278,8,65,141,2862,12,9455
SLC,"Salt Lake City, UT: Salt Lake City International",625,441,5,26,54,1509,30,10675
TPA,"Tampa, FL: Tampa International",409,269,4,31,17,1048,16,4556
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2091,4872,1,148,265,8260,112,25380
BOS,"Boston, MA: Logan International",263,668,1,29,70,1372,9,7469
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",402,168,2,16,14,856,7,7255
CLT,"Charlotte, NC: Charlotte Douglas International",186,593,1,21,38,1174,10,8125
DCA,"Washington, DC: Ronald Reagan Washington National",164,214,3,32,40,659,6,5593
DEN,"Denver, CO: Denver International",736,696,1,116,88,2089,35,16689
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1194,1016,3,93,178,2984,110,18640
DTW,"Detroit, MI: Detroit Metro Wayne County",459,720,0,18,64,1661,5,10384
EWR,"Newark, NJ: Newark Liberty International",212,908,1,29,62,1366,9,7636
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",138,219,1,14,14,586,7,3754
IAD,"Washington, DC: Washington Dulles International",142,186,1,22,51,647,4,4414
IAH,"Houston, TX: George Bush Intercontinental/Houston",358,1172,3,27,28,1882,49,12574
JFK,"New York, NY: John F. Kennedy International",159,995,2,32,15,1673,17,7723
LAS,"Las Vegas, NV: McCarran International",435,255,2,12,28,1098,10,11410
LAX,"Los Angeles, CA: Los Angeles International",532,326,2,32,103,1384,10,14127
LGA,"New York, NY: LaGuardia",211,606,1,45,130,1160,20,6628
MCO,"Orlando, FL: Orlando International",276,262,2,14,25,915,7,7673
MDW,"Chicago, IL: Chicago Midway International",386,168,3,30,21,778,18,6239
MIA,"Miami, FL: Miami International",231,315,3,29,21,793,5,4023
MSP,"Minneapolis, MN: Minneapolis-St Paul International",299,1003,1,48,62,1675,16,7666
ORD,"Chicago, IL: Chicago O'Hare International",922,1057,2,156,287,2868,92,22670
PDX,"Portland, OR: Portland International",153,97,1,7,7,373,3,3883
PHL,"Philadelphia, PA: Philadelphia International",246,698,2,47,63,1261,7,5990
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",450,355,3,18,68,1291,5,13133
SAN,"San Diego, CA: San Diego International",242,142,2,28,31,664,14,5927
SEA,"Seattle, WA: Seattle/Tacoma International",209,268,2,9,11,754,11,7638
SFO,"San Francisco, CA: San Francisco International",502,744,5,28,103,1594,13,9507
SLC,"Salt Lake City, UT: Salt Lake City International",334,346,7,21,27,943,1,9327
TPA,"Tampa, FL: Tampa International",202,161,0,18,7,583,15,4307
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2761,5787,4,170,211,10016,26,25515
BOS,"Boston, MA: Logan International",429,659,0,40,105,1543,8,7564
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",598,210,3,20,28,1181,7,7268
CLT,"Charlotte, NC: Charlotte Douglas International",378,801,2,30,67,1688,15,8248
DCA,"Washington, DC: Ronald Reagan Washington National",350,278,0,28,51,916,15,5676
DEN,"Denver, CO: Denver International",1705,1681,7,145,368,4433,31,14571
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2243,2420,3,158,389,5778,135,16323
DTW,"Detroit, MI: Detroit Metro Wayne County",699,963,4,39,77,2327,7,10120
EWR,"Newark, NJ: Newark Liberty International",487,1704,8,49,113,2480,9,6998
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",262,211,2,18,8,766,4,4014
IAD,"Washington, DC: Washington Dulles International",173,236,1,22,52,784,5,4441
IAH,"Houston, TX: George Bush Intercontinental/Houston",983,2491,8,73,147,4104,117,11100
JFK,"New York, NY: John F. Kennedy International",337,926,1,32,44,1633,20,7826
LAS,"Las Vegas, NV: McCarran International",1038,1146,7,33,65,2909,17,10043
LAX,"Los Angeles, CA: Los Angeles International",1259,1378,8,50,152,3542,29,12510
LGA,"New York, NY: LaGuardia",371,970,1,88,141,1733,9,6399
MCO,"Orlando, FL: Orlando International",518,323,4,17,15,1329,5,8054
MDW,"Chicago, IL: Chicago Midway International",636,270,4,9,39,1237,8,5947
MIA,"Miami, FL: Miami International",289,230,1,12,23,838,6,4190
MSP,"Minneapolis, MN: Minneapolis-St Paul International",774,2563,1,374,351,4212,38,5154
ORD,"Chicago, IL: Chicago O'Hare International",1809,2560,7,93,383,5469,16,20891
PDX,"Portland, OR: Portland International",360,350,3,11,18,983,1,3299
PHL,"Philadelphia, PA: Philadelphia International",390,898,0,93,81,1657,9,5942
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",990,1301,8,51,120,3202,13,11792
SAN,"San Diego, CA: San Diego International",617,472,6,20,60,1555,38,5179
SEA,"Seattle, WA: Seattle/Tacoma International",472,676,6,15,22,1605,14,6812
SFO,"San Francisco, CA: San Francisco International",951,1935,5,56,177,3458,33,7995
SLC,"Salt Lake City, UT: Salt Lake City International",703,907,5,31,61,2021,5,8370
TPA,"Tampa, FL: Tampa International",327,185,1,18,4,819,4,4536
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1808,3858,1,80,244,6669,17,26985
BOS,"Boston, MA: Logan International",313,644,0,12,77,1312,4,7484
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",401,211,0,8,21,876,1,7176
CLT,"Charlotte, NC: Charlotte Douglas International",269,632,2,17,44,1268,8,8228
DCA,"Washington, DC: Ronald Reagan Washington National",208,262,1,9,44,701,7,5570
DEN,"Denver, CO: Denver International",461,289,3,25,102,1188,10,16664
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",995,737,2,49,161,2358,90,19119
DTW,"Detroit, MI: Detroit Metro Wayne County",337,370,2,32,50,1127,53,11069
EWR,"Newark, NJ: Newark Liberty International",286,1401,3,37,92,1928,13,7287
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",215,250,1,6,10,700,8,4496
IAD,"Washington, DC: Washington Dulles International",116,263,0,15,36,667,7,4332
IAH,"Houston, TX: George Bush Intercontinental/Houston",363,617,3,17,36,1342,15,13578
JFK,"New York, NY: John F. Kennedy International",207,588,1,27,13,1109,14,8164
LAS,"Las Vegas, NV: McCarran International",266,190,2,7,38,803,6,11428
LAX,"Los Angeles, CA: Los Angeles International",459,323,1,30,107,1251,23,14088
LGA,"New York, NY: LaGuardia",253,899,0,60,106,1437,6,6160
MCO,"Orlando, FL: Orlando International",399,315,1,4,24,1085,4,8493
MDW,"Chicago, IL: Chicago Midway International",274,104,0,1,31,572,3,6362
MIA,"Miami, FL: Miami International",231,241,0,7,19,753,9,4401
MSP,"Minneapolis, MN: Minneapolis-St Paul International",194,209,2,9,31,660,5,8413
ORD,"Chicago, IL: Chicago O'Hare International",624,652,1,37,150,1991,15,22769
PDX,"Portland, OR: Portland International",90,68,2,10,8,283,1,3690
PHL,"Philadelphia, PA: Philadelphia International",187,759,1,51,48,1203,10,5932
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",292,253,4,10,79,965,7,13641
SAN,"San Diego, CA: San Diego International",170,97,2,20,54,508,45,5764
SEA,"Seattle, WA: Seattle/Tacoma International",185,205,0,8,28,643,6,6914
SFO,"San Francisco, CA: San Francisco International",326,536,1,13,82,1138,6,9710
SLC,"Salt Lake City, UT: Salt Lake City International",221,183,3,13,47,593,10,9262
TPA,"Tampa, FL: Tampa International",246,185,1,5,14,677,5,4753
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2789,5060,10,260,778,9660,28,23656
BOS,"Boston, MA: Logan International",651,546,0,89,345,1799,12,6577
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",901,404,7,79,332,1853,24,6055
CLT,"Charlotte, NC: Charlotte Douglas International",499,1079,5,88,282,2297,8,7287
DCA,"Washington, DC: Ronald Reagan Washington National",401,361,2,80,411,1198,73,4642
DEN,"Denver, CO: Denver International",1885,1359,10,199,397,4442,13,14212
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2166,1759,12,260,762,5232,83,16396
DTW,"Detroit, MI: Detroit Metro Wayne County",933,1111,9,98,314,2916,15,9562
EWR,"Newark, NJ: Newark Liberty International",676,2080,7,108,448,3192,17,5929
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",558,678,14,59,115,1914,23,3787
IAD,"Washington, DC: Washington Dulles International",306,314,1,58,357,1120,10,3875
IAH,"Houston, TX: George Bush Intercontinental/Houston",1197,2366,15,178,392,4521,66,11190
JFK,"New York, NY: John F. Kennedy International",764,944,4,110,500,2338,21,6995
LAS,"Las Vegas, NV: McCarran International",1132,747,8,88,153,2700,13,9366
LAX,"Los Angeles, CA: Los Angeles International",1353,1168,14,138,252,3655,19,12342
LGA,"New York, NY: LaGuardia",526,837,1,129,380,1900,13,5598
MCO,"Orlando, FL: Orlando International",1042,1021,14,91,172,3046,12,7128
MDW,"Chicago, IL: Chicago Midway International",813,520,12,116,146,1926,82,5019
MIA,"Miami, FL: Miami International",488,608,16,98,110,1716,13,3931
MSP,"Minneapolis, MN: Minneapolis-St Paul International",774,718,7,105,265,2172,16,6947
ORD,"Chicago, IL: Chicago O'Hare International",2294,3520,17,263,1399,7340,26,16951
PDX,"Portland, OR: Portland International",394,217,2,25,40,924,8,3233
PHL,"Philadelphia, PA: Philadelphia International",560,737,4,90,398,1791,33,5203
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1067,1012,13,129,242,3112,41,12222
SAN,"San Diego, CA: San Diego International",624,427,6,46,103,1530,27,4901
SEA,"Seattle, WA: Seattle/Tacoma International",511,361,5,52,45,1355,4,6424
SFO,"San Francisco, CA: San Francisco International",969,1566,9,106,255,3168,16,7963
SLC,"Salt Lake City, UT: Salt Lake City International",1171,911,6,86,190,2748,18,7378
TPA,"Tampa, FL: Tampa International",573,563,10,55,86,1739,6,4112
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1837,2648,9,234,1148,5908,74,26599
BOS,"Boston, MA: Logan International",514,895,8,63,279,1989,9,6635
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",647,414,7,48,117,1549,6,6263
CLT,"Charlotte, NC: Charlotte Douglas International",414,809,5,58,325,1813,3,7723
DCA,"Washington, DC: Ronald Reagan Washington National",261,405,8,39,230,1063,16,5060
DEN,"Denver, CO: Denver International",1134,751,13,103,307,2680,36,15976
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1519,1116,10,166,590,3550,97,18319
DTW,"Detroit, MI: Detroit Metro Wayne County",777,1240,17,64,288,2793,21,9636
EWR,"Newark, NJ: Newark Liberty International",452,1705,9,62,225,2528,17,6601
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",386,423,9,35,48,1276,5,4421
IAD,"Washington, DC: Washington Dulles International",262,357,3,54,132,1098,4,4504
IAH,"Houston, TX: George Bush Intercontinental/Houston",719,1139,16,75,214,2366,22,12592
JFK,"New York, NY: John F. Kennedy International",477,1009,3,58,210,2007,18,7327
LAS,"Las Vegas, NV: McCarran International",710,539,16,118,131,1852,17,9915
LAX,"Los Angeles, CA: Los Angeles International",1077,791,20,64,314,2626,20,13104
LGA,"New York, NY: LaGuardia",344,713,3,81,363,1537,42,6103
MCO,"Orlando, FL: Orlando International",641,693,13,41,85,2012,8,7957
MDW,"Chicago, IL: Chicago Midway International",517,350,8,54,173,1276,16,5243
MIA,"Miami, FL: Miami International",383,472,8,52,96,1317,4,4411
MSP,"Minneapolis, MN: Minneapolis-St Paul International",451,548,8,41,182,1549,9,7588
ORD,"Chicago, IL: Chicago O'Hare International",1760,2198,7,170,927,5164,20,19349
PDX,"Portland, OR: Portland International",265,85,5,13,38,537,2,3465
PHL,"Philadelphia, PA: Philadelphia International",359,636,9,45,176,1424,20,5487
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",674,524,12,68,444,1878,86,12879
SAN,"San Diego, CA: San Diego International",384,229,6,37,136,963,30,5209
SEA,"Seattle, WA: Seattle/Tacoma International",363,253,9,28,55,940,4,6349
SFO,"San Francisco, CA: San Francisco International",904,2184,6,103,446,3555,42,7236
SLC,"Salt Lake City, UT: Salt Lake City International",602,498,6,60,147,1554,20,8731
TPA,"Tampa, FL: Tampa International",366,340,6,21,59,1128,5,4537
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2204,2826,9,324,2226,6557,24,22446
BOS,"Boston, MA: Logan International",504,857,1,76,785,1918,23,5692
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",498,350,5,69,1352,1242,34,4693
CLT,"Charlotte, NC: Charlotte Douglas International",459,682,6,52,414,1586,3,6878
DCA,"Washington, DC: Ronald Reagan Washington National",235,284,7,46,1346,842,10,3763
DEN,"Denver, CO: Denver International",1284,809,7,54,383,2758,9,14663
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1696,1347,11,192,1303,4011,73,15174
DTW,"Detroit, MI: Detroit Metro Wayne County",1127,1161,7,70,635,3114,9,7873
EWR,"Newark, NJ: Newark Liberty International",437,1113,9,74,1195,1865,11,5649
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",433,495,6,46,252,1389,11,3749
IAD,"Washington, DC: Washington Dulles International",349,301,2,31,962,953,17,3509
IAH,"Houston, TX: George Bush Intercontinental/Houston",763,1593,12,86,346,2954,56,10757
JFK,"New York, NY: John F. Kennedy International",529,796,1,86,887,1914,15,6078
LAS,"Las Vegas, NV: McCarran International",605,326,5,46,194,1429,15,9098
LAX,"Los Angeles, CA: Los Angeles International",947,568,11,63,373,2244,25,12158
LGA,"New York, NY: LaGuardia",330,691,1,85,1052,1449,59,4888
MCO,"Orlando, FL: Orlando International",711,895,14,68,415,2371,2,6655
MDW,"Chicago, IL: Chicago Midway International",402,200,7,31,396,881,32,4678
MIA,"Miami, FL: Miami International",371,495,4,65,222,1325,20,3757
MSP,"Minneapolis, MN: Minneapolis-St Paul International",537,685,10,97,277,1851,13,6821
ORD,"Chicago, IL: Chicago O'Hare International",1645,2578,7,134,1174,5123,30,17410
PDX,"Portland, OR: Portland International",218,89,5,9,39,478,4,3212
PHL,"Philadelphia, PA: Philadelphia International",392,676,5,71,1023,1428,29,4095
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",591,480,5,62,255,1619,6,12096
SAN,"San Diego, CA: San Diego International",344,156,6,28,113,826,4,4900
SEA,"Seattle, WA: Seattle/Tacoma International",313,197,7,29,74,795,7,5827
SFO,"San Francisco, CA: San Francisco International",815,1915,5,104,415,3177,55,6660
SLC,"Salt Lake City, UT: Salt Lake City International",440,359,7,33,149,1211,6,8141
TPA,"Tampa, FL: Tampa International",351,384,6,48,235,1148,4,4031
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2238,3446,7,194,912,7275,98,26901
BOS,"Boston, MA: Logan International",624,1436,6,61,242,2720,32,6643
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",834,425,5,29,76,1768,7,6804
CLT,"Charlotte, NC: Charlotte Douglas International",484,677,5,27,146,1636,23,8128
DCA,"Washington, DC: Ronald Reagan Washington National",369,413,3,41,147,1194,5,5400
DEN,"Denver, CO: Denver International",1330,710,10,86,402,2840,79,16908
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1671,1308,8,299,324,4105,118,18428
DTW,"Detroit, MI: Detroit Metro Wayne County",676,591,5,38,172,1978,9,11051
EWR,"Newark, NJ: Newark Liberty International",564,2364,10,55,293,3370,28,6200
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",507,516,7,31,56,1534,23,4550
IAD,"Washington, DC: Washington Dulles International",476,460,2,17,73,1294,6,4875
IAH,"Houston, TX: George Bush Intercontinental/Houston",904,1140,9,51,107,2592,20,12921
JFK,"New York, NY: John F. Kennedy International",486,1669,3,61,450,2779,63,6788
LAS,"Las Vegas, NV: McCarran International",777,394,8,57,65,1740,31,10353
LAX,"Los Angeles, CA: Los Angeles International",957,512,16,55,193,2258,21,14370
LGA,"New York, NY: LaGuardia",415,1464,0,129,279,2425,43,5687
MCO,"Orlando, FL: Orlando International",861,791,12,40,62,2425,34,8571
MDW,"Chicago, IL: Chicago Midway International",616,173,7,43,70,1209,37,5802
MIA,"Miami, FL: Miami International",437,519,2,40,66,1428,13,4375
MSP,"Minneapolis, MN: Minneapolis-St Paul International",461,398,9,43,102,1438,9,8799
ORD,"Chicago, IL: Chicago O'Hare International",1691,2311,6,110,477,4990,66,21521
PDX,"Portland, OR: Portland International",246,96,3,13,21,541,7,3758
PHL,"Philadelphia, PA: Philadelphia International",478,1215,6,89,116,2192,9,5239
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",769,431,9,38,124,1850,9,13759
SAN,"San Diego, CA: San Diego International",456,140,6,32,54,947,13,5601
SEA,"Seattle, WA: Seattle/Tacoma International",353,213,4,24,26,911,7,6727
SFO,"San Francisco, CA: San Francisco International",694,1287,6,61,188,2423,13,8910
SLC,"Salt Lake City, UT: Salt Lake City International",470,307,3,23,90,1146,23,9335
TPA,"Tampa, FL: Tampa International",506,405,6,27,42,1397,36,4999
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1295,1866,3,113,254,4227,79,29617
BOS,"Boston, MA: Logan International",390,500,3,32,58,1312,7,7986
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",536,222,1,30,19,1115,37,7443
CLT,"Charlotte, NC: Charlotte Douglas International",276,353,5,30,42,958,12,8734
DCA,"Washington, DC: Ronald Reagan Washington National",207,211,3,21,60,774,10,5639
DEN,"Denver, CO: Denver International",1053,816,11,70,154,2537,46,16322
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1093,779,5,119,159,2672,35,19305
DTW,"Detroit, MI: Detroit Metro Wayne County",582,689,7,21,91,1936,9,11516
EWR,"Newark, NJ: Newark Liberty International",344,1083,6,37,45,1724,21,7878
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",279,256,2,18,12,838,19,4658
IAD,"Washington, DC: Washington Dulles International",266,191,4,13,37,710,12,5486
IAH,"Houston, TX: George Bush Intercontinental/Houston",534,1186,8,30,21,2144,14,12602
JFK,"New York, NY: John F. Kennedy International",292,723,6,16,79,1419,34,7729
LAS,"Las Vegas, NV: McCarran International",642,440,8,39,56,1634,34,10350
LAX,"Los Angeles, CA: Los Angeles International",807,617,15,39,118,2164,19,14021
LGA,"New York, NY: LaGuardia",266,614,2,32,77,1271,19,7256
MCO,"Orlando, FL: Orlando International",431,380,9,26,26,1321,17,9184
MDW,"Chicago, IL: Chicago Midway International",427,157,2,26,26,925,15,6155
MIA,"Miami, FL: Miami International",429,353,2,21,63,1163,34,4527
MSP,"Minneapolis, MN: Minneapolis-St Paul International",414,570,0,24,61,1454,12,8185
ORD,"Chicago, IL: Chicago O'Hare International",1358,2185,8,67,389,4323,28,21014
PDX,"Portland, OR: Portland International",175,120,1,13,16,471,1,3735
PHL,"Philadelphia, PA: Philadelphia International",233,447,4,23,41,961,11,6166
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",666,503,3,35,115,1685,10,13204
SAN,"San Diego, CA: San Diego International",367,219,2,14,21,929,9,5534
SEA,"Seattle, WA: Seattle/Tacoma International",252,219,2,17,16,761,7,6741
SFO,"San Francisco, CA: San Francisco International",607,1256,10,42,162,2356,12,8706
SLC,"Salt Lake City, UT: Salt Lake City International",529,404,5,18,96,1281,19,8544
TPA,"Tampa, FL: Tampa International",262,214,2,17,11,777,36,5349
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2181,3414,9,221,484,7247,123,27002
BOS,"Boston, MA: Logan International",474,638,0,51,102,1569,8,7681
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",670,447,4,73,39,1579,16,7520
CLT,"Charlotte, NC: Charlotte Douglas International",483,717,2,39,72,1616,16,8648
DCA,"Washington, DC: Ronald Reagan Washington National",344,467,4,29,107,1217,14,5224
DEN,"Denver, CO: Denver International",1225,1172,9,124,233,3165,125,16367
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1645,1449,4,265,496,4267,185,17721
DTW,"Detroit, MI: Detroit Metro Wayne County",968,1254,2,111,220,3092,64,10000
EWR,"Newark, NJ: Newark Liberty International",425,1545,4,48,124,2311,45,6870
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",248,196,2,24,23,725,12,4211
IAD,"Washington, DC: Washington Dulles International",407,312,2,20,90,1004,24,5410
IAH,"Houston, TX: George Bush Intercontinental/Houston",682,1324,10,57,143,2576,57,12545
JFK,"New York, NY: John F. Kennedy International",364,1309,3,44,213,2182,44,6805
LAS,"Las Vegas, NV: McCarran International",1011,582,8,43,54,2221,6,10196
LAX,"Los Angeles, CA: Los Angeles International",1028,867,10,80,152,2814,23,13937
LGA,"New York, NY: LaGuardia",416,1138,0,74,198,2051,38,6744
MCO,"Orlando, FL: Orlando International",609,436,3,35,38,1604,11,8818
MDW,"Chicago, IL: Chicago Midway International",610,286,9,56,24,1265,22,6075
MIA,"Miami, FL: Miami International",491,335,3,33,72,1238,12,4594
MSP,"Minneapolis, MN: Minneapolis-St Paul International",666,782,3,44,94,2087,8,8129
ORD,"Chicago, IL: Chicago O'Hare International",2044,3314,8,146,720,6396,97,19266
PDX,"Portland, OR: Portland International",275,132,1,13,32,612,3,3856
PHL,"Philadelphia, PA: Philadelphia International",375,665,1,48,61,1397,15,5951
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",859,646,4,46,112,2113,6,13188
SAN,"San Diego, CA: San Diego International",496,291,0,27,54,1185,7,5707
SEA,"Seattle, WA: Seattle/Tacoma International",298,236,2,35,23,900,9,7468
SFO,"San Francisco, CA: San Francisco International",804,1645,4,61,197,3008,19,8514
SLC,"Salt Lake City, UT: Salt Lake City International",561,420,6,15,75,1430,7,8765
TPA,"Tampa, FL: Tampa International",383,202,3,37,34,904,4,5001
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2634,3586,10,232,491,8254,203,26195
BOS,"Boston, MA: Logan International",605,778,3,63,157,1955,5,7385
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",883,637,6,120,75,2128,23,7312
CLT,"Charlotte, NC: Charlotte Douglas International",599,667,4,74,99,1775,17,8578
DCA,"Washington, DC: Ronald Reagan Washington National",419,609,1,60,167,1506,14,4771
DEN,"Denver, CO: Denver International",1733,1125,4,110,216,3825,116,16287
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2020,1349,5,182,463,4660,162,17205
DTW,"Detroit, MI: Detroit Metro Wayne County",1225,1036,2,113,349,3360,47,10086
EWR,"Newark, NJ: Newark Liberty International",599,1310,4,57,172,2352,50,6964
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",352,213,3,30,22,981,4,3820
IAD,"Washington, DC: Washington Dulles International",601,357,1,66,126,1348,9,5214
IAH,"Houston, TX: George Bush Intercontinental/Houston",1244,1675,8,91,83,3659,60,12018
JFK,"New York, NY: John F. Kennedy International",421,1015,0,55,218,2085,31,6801
LAS,"Las Vegas, NV: McCarran International",1160,393,3,52,63,2291,9,9835
LAX,"Los Angeles, CA: Los Angeles International",1320,864,12,105,166,3297,14,13743
LGA,"New York, NY: LaGuardia",490,851,1,76,249,1863,46,6391
MCO,"Orlando, FL: Orlando International",809,534,8,68,59,2019,14,8395
MDW,"Chicago, IL: Chicago Midway International",740,448,5,187,21,1756,49,5543
MIA,"Miami, FL: Miami International",454,447,1,52,135,1355,27,4211
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1001,974,5,85,207,2989,42,7980
ORD,"Chicago, IL: Chicago O'Hare International",2832,3321,8,186,1256,7489,218,17708
PDX,"Portland, OR: Portland International",366,225,3,20,17,886,5,3850
PHL,"Philadelphia, PA: Philadelphia International",452,621,5,75,78,1542,22,5826
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",901,378,7,68,111,1985,6,12910
SAN,"San Diego, CA: San Diego International",571,273,1,27,54,1304,3,5620
SEA,"Seattle, WA: Seattle/Tacoma International",454,494,3,46,31,1500,7,7594
SFO,"San Francisco, CA: San Francisco International",1048,1648,1,85,228,3372,33,8392
SLC,"Salt Lake City, UT: Salt Lake City International",721,392,4,30,82,1677,6,9217
TPA,"Tampa, FL: Tampa International",443,284,3,55,28,1161,23,4444
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2899,3427,3,259,635,8448,136,26855
BOS,"Boston, MA: Logan International",739,805,5,77,222,2256,10,7504
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",955,722,5,107,75,2309,48,7379
CLT,"Charlotte, NC: Charlotte Douglas International",653,803,5,68,117,2047,37,8599
DCA,"Washington, DC: Ronald Reagan Washington National",427,595,3,68,218,1502,28,4796
DEN,"Denver, CO: Denver International",1635,1267,7,110,170,3913,164,17160
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1996,1397,6,273,360,4829,193,17581
DTW,"Detroit, MI: Detroit Metro Wayne County",1236,989,4,136,528,3364,77,10200
EWR,"Newark, NJ: Newark Liberty International",765,1529,5,81,228,2765,28,6819
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",389,288,5,33,34,1135,15,3841
IAD,"Washington, DC: Washington Dulles International",469,380,0,60,115,1236,26,5623
IAH,"Houston, TX: George Bush Intercontinental/Houston",1517,2081,10,110,242,4461,181,11590
JFK,"New York, NY: John F. Kennedy International",664,1056,2,82,204,2476,33,7140
LAS,"Las Vegas, NV: McCarran International",1095,378,4,52,73,2234,13,10209
LAX,"Los Angeles, CA: Los Angeles International",1335,952,15,101,157,3396,18,14349
LGA,"New York, NY: LaGuardia",540,1102,3,91,375,2184,74,5975
MCO,"Orlando, FL: Orlando International",922,551,8,62,51,2283,17,8613
MDW,"Chicago, IL: Chicago Midway International",752,265,6,65,19,1507,32,5951
MIA,"Miami, FL: Miami International",435,394,4,45,75,1293,14,4469
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1022,702,5,81,241,2741,36,8918
ORD,"Chicago, IL: Chicago O'Hare International",2381,2143,3,181,599,5861,139,20982
PDX,"Portland, OR: Portland International",356,154,3,25,22,860,7,4070
PHL,"Philadelphia, PA: Philadelphia International",494,621,8,77,106,1601,48,6090
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",952,386,8,68,138,2034,19,13228
SAN,"San Diego, CA: San Diego International",557,221,3,38,45,1306,5,5777
SEA,"Seattle, WA: Seattle/Tacoma International",523,318,7,43,34,1493,10,8136
SFO,"San Francisco, CA: San Francisco International",1145,1176,2,68,131,2974,18,9328
SLC,"Salt Lake City, UT: Salt Lake City International",768,378,3,36,80,1757,17,9413
TPA,"Tampa, FL: Tampa International",487,265,3,39,37,1203,10,4561
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2445,3561,5,168,451,7704,41,27932
BOS,"Boston, MA: Logan International",566,976,3,66,138,2108,20,7907
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",759,510,5,63,42,1753,16,7856
CLT,"Charlotte, NC: Charlotte Douglas International",527,641,3,49,113,1702,39,9179
DCA,"Washington, DC: Ronald Reagan Washington National",354,410,3,46,148,1151,28,5310
DEN,"Denver, CO: Denver International",1339,813,4,82,145,2903,61,18364
